Node,OSM_street_count,OSM_highway,OSM_edges,Street_count,Count
65317386,4,traffic_signals,"[(65336534, 65317386, 0), (65317386, 65345359, 0), (65345359, 65317386, 0), (65317386, 65317383, 0), (65317386, 65336534, 0)]",1,19
65319894,4,,"[(65298398, 65319894, 0), (65319894, 65324849, 0), (65319894, 65298398, 0), (65324849, 65319894, 0)]",3,14
10946845802,4,traffic_signals,"[(10946845802, 65324852, 0), (65324852, 10946845802, 0), (10946845801, 10946845802, 0)]",2,20
10946845801,4,traffic_signals,"[(10946845801, 65298398, 0), (65298398, 10946845801, 0), (10946845801, 10946845802, 0)]",3,26
65336534,3,,"[(65336534, 65317386, 0), (65336534, 65324849, 0), (65324849, 65336534, 0), (65317386, 65336534, 0)]",3,15
65324849,4,traffic_signals,"[(65319894, 65324849, 0), (65336534, 65324849, 0), (65324849, 65336534, 0), (65324849, 65319894, 0)]",5,35
65324852,3,,"[(10946845802, 65324852, 0), (65324852, 10946845802, 0), (65324852, 65324854, 0)]",1,7
65324854,3,,"[(65324854, 65324856, 0), (65324852, 65324854, 0)]",1,1
65324856,3,,"[(65324854, 65324856, 0), (258968244, 65324856, 0), (65324856, 258968244, 0)]",3,8
65298398,4,,"[(65298398, 65319894, 0), (10946845801, 65298398, 0), (65319894, 65298398, 0), (65298398, 10946845801, 0)]",3,9
